City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,constantia,44.1833,28.65,0.39,83,100,7.93,RO,1702069417
122,qingnian,36.8456,115.7117,7.52,43,0,3.77,CN,1702069417
123,hithadhoo,-0.6,73.0833,27.95,78,83,4.52,MV,1702069418
124,ujae,8.9322,165.7642,27.74,76,97,9.11,MH,1702069418
125,polyarnyy,69.1989,33.4478,-12.47,92,92,9.4,RU,1702069130
126,kirensk,57.7853,108.1119,-43.91,100,68,0.89,RU,1702069419
127,lebu,-37.6167,-73.65,13.86,72,3,8.06,CL,1702069419
128,necochea,-38.5473,-58.7368,18.21,52,0,8.81,AR,1702069420
129,lompoc,34.6391,-120.4579,21.5,41,0,10.29,US,1702069420
130,alappuzha,9.49,76.3264,26.28,85,98,3.97,IN,1702069420
131,addiet canna,11.2667,37.4833,13.59,52,6,2.7,ET,1702069421
132,bakshwaho,24.25,79.3,19.17,59,88,1.35,IN,1702069422
133,sao vicente,-23.9631,-46.3919,27.1,59,100,1.03,BR,1702069408
134,danville,36.586,-79.395,17.36,29,0,2.06,US,1702069335
135,mazagao,-0.115,-51.2894,31.03,65,81,2.89,BR,1702069422
136,fiambala,-27.6871,-67.6149,28.03,36,0,5.45,AR,1702069423
137,tiksi,71.6872,128.8694,-29.82,100,100,2.17,RU,1702069423
138,whitehorse,60.7161,-135.0538,-4.57,80,75,9.26,CA,1702069344
139,verkhotur'ye,58.8627,60.8054,-32.83,99,24,1.57,RU,1702069424
140,cabo san lucas,22.8909,-109.9124,29.23,70,0,1.34,MX,1702069031
141,zhigalovo,54.8097,105.1578,-35.83,99,20,0.33,RU,1702069424
142,fada,9.5667,8.3,22.35,24,100,1.99,NG,1702069424
143,peace river,56.2501,-117.286,-5.83,93,75,3.09,CA,1702069425
144,ola,59.5833,151.2833,-10.56,86,100,3.44,RU,1702069425
145,lodwar,3.1191,35.5973,28.26,52,5,3.48,KE,1702069425
146,katabu,-4.9333,122.5167,24.97,92,95,0.61,ID,1702069425
147,port saint john's,-31.6229,29.5448,21.12,84,65,3.36,ZA,1702069426
148,jijiga,9.35,42.8,14.94,63,0,3.2,ET,1702069426
149,afaahiti,-17.75,-149.2833,26.93,95,100,9.01,PF,1702069426
150,sinabang,2.4803,96.3801,26.16,85,99,1.85,ID,1702069427
151,avarua,-21.2078,-159.775,27.03,69,40,8.23,CK,1702069427
152,mugia,43.1041,-9.2179,14.95,91,100,13.01,ES,1702069427
153,kone,-21.0595,164.8658,25.02,60,100,4.49,NC,1702069428
154,couzeix,45.8705,1.2383,6.26,100,75,2.57,FR,1702069428
155,georgetown,5.4112,100.3354,26.96,79,20,2.06,MY,1702069249
156,codrington,-38.2667,141.9667,13.67,97,100,2.78,AU,1702069429
157,coquimbo,-29.9533,-71.3436,18.85,68,0,5.66,CL,1702069401
158,norilsk,69.3535,88.2027,-33.15,88,51,1.36,RU,1702069429
159,bonthe,7.5264,-12.505,27.06,78,8,2.49,SL,1702069429
160,yakeshi,49.2833,120.7333,-33.22,100,100,2.93,CN,1702069430
161,island harbour,50.724,-1.2758,10.04,86,92,2.24,GB,1702069430
162,gadzhiyevo,69.2551,33.3362,-12.49,91,96,9.46,RU,1702069430
163,alice springs,-23.7,133.8833,23.75,64,1,3.6,AU,1702069431
164,nogliki,51.8333,143.1667,-8.14,87,100,2.24,RU,1702069431
165,irymple,-34.25,142.1667,24.49,60,64,0.45,AU,1702069431
166,iskateley,67.6803,53.1512,-18.05,92,100,3.62,RU,1702069432
167,hawera,-39.5917,174.2833,17.35,65,28,4.14,NZ,1702069432
168,chonchi,-42.6128,-73.8092,12.84,69,96,2.74,CL,1702069432
169,san antonio de pale,-1.4014,5.6325,27.25,79,84,2.73,GQ,1702069432
170,kenai,60.5544,-151.2583,-5.95,85,40,2.06,US,1702069433
171,capao da canoa,-29.7456,-50.0097,19.41,81,58,1.69,BR,1702069262
172,kourou,5.1552,-52.6478,29.03,91,91,4.2,GF,1702069210
173,mossel bay,-34.1831,22.146,18.96,86,75,6.94,ZA,1702069434
174,banes,20.9625,-75.7186,25.63,73,89,6.42,CU,1702069434
175,darnah,32.767,22.6367,15.65,57,93,4.73,LY,1702069434
176,mamuju,-2.6748,118.8885,25.98,83,99,1.3,ID,1702069434
177,hami,42.8,93.45,-1.25,46,75,2.33,CN,1702069435
178,minas de marcona,-15.2119,-75.1103,18.69,64,50,8.1,PE,1702069435
179,dongola,19.1667,30.4833,18.92,21,19,3.44,SD,1702069435
180,hilo,19.7297,-155.09,25.85,76,40,2.06,US,1702069136
181,luanda,-8.8368,13.2343,26.0,80,75,4.12,AO,1702069338
182,petropavlovsk-kamchatsky,53.0452,158.6483,-4.75,76,20,8.49,RU,1702069436
183,baharly,38.4362,57.4316,6.34,46,18,2.57,TM,1702069436
184,aden,12.7794,45.0367,26.3,61,27,5.88,YE,1702069436
185,carinhanha,-14.3047,-43.765,32.11,26,100,0.87,BR,1702069437
186,xinyuan,37.3,99.0,-8.74,28,37,0.52,CN,1702069437
187,strezhevoy,60.7333,77.5889,-21.77,97,100,2.62,RU,1702069437
188,labrador city,52.9463,-66.9114,-9.05,62,40,6.69,CA,1702069438
189,taitung city,22.7583,121.1444,21.0,67,40,2.05,TW,1702069438
190,lang son,21.8333,106.7333,16.2,80,7,1.18,VN,1702069438
191,fauske,67.2588,15.3918,0.02,80,100,4.43,NO,1702069438
192,castillos,-34.1667,-53.8333,17.54,67,1,3.91,UY,1702069439
193,kalach,50.4258,41.0261,-4.43,59,100,7.79,RU,1702069439
194,puerto baquerizo moreno,-0.9,-89.6,26.55,78,40,6.69,EC,1702069439
195,hotan,37.0997,79.9269,4.28,20,100,2.74,CN,1702069439
196,olyokminsk,60.3736,120.4264,-35.46,92,98,1.92,RU,1702069440
197,mariental,-24.6333,17.9667,28.29,9,5,9.11,NA,1702069440
198,nishinoomote,30.7333,131.0,17.7,69,99,2.67,JP,1702069440
199,palangkaraya,-2.2,113.8333,23.5,97,93,0.33,ID,1702069441
